2017-10-09 17:38:31.754 INFO  [9568] [main@9] Initiating plog.
2017-10-11 18:45:16.189 INFO  [8364] [main@13] Initiating plog.
2017-10-11 18:47:08.558 INFO  [1288] [main@12] Initiating plog.
2017-10-11 18:58:49.815 INFO  [692] [main@12] Initiating plog.
2017-10-11 19:00:14.409 INFO  [10492] [main@12] Initiating plog.
2017-10-11 19:00:55.753 INFO  [7084] [main@12] Initiating plog.
2017-10-11 19:01:59.464 INFO  [7208] [main@12] Initiating plog.
2017-10-11 19:03:45.619 INFO  [7204] [main@12] Initiating plog.
2017-10-11 19:04:14.636 INFO  [5572] [main@12] Initiating plog.
2017-10-11 19:04:45.987 INFO  [6944] [main@12] Initiating plog.
2017-10-11 19:06:09.737 INFO  [8028] [main@12] Initiating plog.
2017-10-11 19:06:55.864 INFO  [8712] [main@12] Initiating plog.
2017-10-11 19:08:21.367 INFO  [7600] [main@12] Initiating plog.
2017-10-11 19:08:36.974 INFO  [3988] [main@12] Initiating plog.
2017-10-11 19:08:56.323 INFO  [2252] [main@12] Initiating plog.
2017-10-11 19:08:58.839 INFO  [6436] [main@12] Initiating plog.
2017-10-11 19:10:28.315 INFO  [10704] [main@12] Initiating plog.
2017-10-11 19:11:18.029 INFO  [7728] [main@12] Initiating plog.
2017-10-11 19:11:36.621 INFO  [8336] [main@12] Initiating plog.
2017-10-11 19:12:01.309 INFO  [9268] [main@12] Initiating plog.
2017-10-11 19:12:15.056 INFO  [2836] [main@12] Initiating plog.
2017-10-11 19:14:44.637 INFO  [3496] [main@12] Initiating plog.
2017-10-11 19:16:35.409 INFO  [6788] [main@12] Initiating plog.
2017-10-11 19:17:34.001 INFO  [10536] [main@12] Initiating plog.
2017-10-11 19:24:22.758 INFO  [11628] [main@12] Initiating plog.
2017-10-11 19:25:20.953 INFO  [10060] [main@12] Initiating plog.
2017-10-11 19:26:43.437 INFO  [9268] [main@12] Initiating plog.
2017-10-11 19:28:17.924 INFO  [7332] [main@12] Initiating plog.
2017-10-11 19:28:29.240 INFO  [10860] [main@12] Initiating plog.
2017-10-11 19:29:40.604 INFO  [10656] [main@12] Initiating plog.
2017-10-11 19:31:03.695 INFO  [11480] [main@12] Initiating plog.
2017-10-11 19:32:29.099 INFO  [9084] [main@12] Initiating plog.
2017-10-11 19:32:45.140 INFO  [9396] [main@12] Initiating plog.
2017-10-11 22:10:47.630 INFO  [7032] [main@12] Initiating plog.
2017-10-11 23:13:42.088 INFO  [9848] [main@12] Initiating plog.
2017-10-11 23:36:43.782 INFO  [6964] [main@12] Initiating plog.
2017-10-11 23:39:22.157 INFO  [7480] [main@12] Initiating plog.
2017-10-11 23:39:55.513 INFO  [3524] [main@12] Initiating plog.
2017-10-11 23:42:51.811 INFO  [7716] [main@12] Initiating plog.
2017-10-11 23:44:57.456 INFO  [12576] [main@12] Initiating plog.
2017-10-11 23:45:07.311 INFO  [12452] [main@12] Initiating plog.
2017-10-11 23:45:49.767 INFO  [10576] [main@12] Initiating plog.
2017-10-11 23:53:06.946 INFO  [4800] [main@12] Initiating plog.
2017-10-11 23:55:45.660 INFO  [8060] [main@12] Initiating plog.
2017-10-12 00:01:16.521 INFO  [8932] [main@12] Initiating plog.
2017-10-12 00:05:48.062 INFO  [7412] [main@12] Initiating plog.
2017-10-12 00:07:00.661 INFO  [4308] [main@12] Initiating plog.
2017-10-12 00:07:39.878 INFO  [11224] [main@12] Initiating plog.
2017-10-12 09:47:44.135 INFO  [848] [main@12] Initiating plog.
2017-10-12 10:54:27.513 INFO  [12960] [main@12] Initiating plog.
2017-10-12 11:04:56.796 INFO  [13276] [main@12] Initiating plog.
